Date (PST),Parameter ,Value (m)
2021-05-01 0:00,46,29.25
2021-05-01 0:05,46,29.249
2021-05-01 0:10,46,29.251
2021-05-01 0:15,46,29.25
2021-05-01 0:20,46,29.247
2021-05-01 0:25,46,29.25
2021-05-01 0:30,46,29.248
2021-05-01 0:35,46,29.247
2021-05-01 0:40,46,29.245
2021-05-01 0:45,46,29.247
2021-05-01 0:50,46,29.245
2021-05-01 0:55,46,29.242
2021-05-01 1:00,46,29.241
2021-05-01 1:05,46,29.242
2021-05-01 1:10,46,29.243
2021-05-01 1:15,46,29.243
2021-05-01 1:20,46,29.245
2021-05-01 1:25,46,29.245
2021-05-01 1:30,46,29.248
2021-05-01 1:35,46,29.247
2021-05-01 1:40,46,29.248
2021-05-01 1:45,46,29.244
2021-05-01 1:50,46,29.254
2021-05-01 1:55,46,29.254
2021-05-01 2:00,46,29.256
2021-05-01 2:05,46,29.245
2021-05-01 2:10,46,29.257
2021-05-01 2:15,46,29.259
2021-05-01 2:20,46,29.261
2021-05-01 2:25,46,29.26
2021-05-01 2:30,46,29.26
2021-05-01 2:35,46,29.261
2021-05-01 2:40,46,29.261
2021-05-01 2:45,46,29.262
2021-05-01 2:50,46,29.259
2021-05-01 2:55,46,29.259
2021-05-01 3:00,46,29.26
2021-05-01 3:05,46,29.261
2021-05-01 3:10,46,29.259
2021-05-01 3:15,46,29.26
2021-05-01 3:20,46,29.262
2021-05-01 3:25,46,29.261
2021-05-01 3:30,46,29.248
2021-05-01 3:35,46,29.263
2021-05-01 3:40,46,29.261
2021-05-01 3:45,46,29.26
2021-05-01 3:50,46,29.26
2021-05-01 3:55,46,29.261
2021-05-01 4:00,46,29.262
2021-05-01 4:05,46,29.26
2021-05-01 4:10,46,29.263
2021-05-01 4:15,46,29.261
2021-05-01 4:20,46,29.261
2021-05-01 4:25,46,29.261
2021-05-01 4:30,46,29.259
2021-05-01 4:35,46,29.262
2021-05-01 4:40,46,29.262
2021-05-01 4:45,46,29.261
2021-05-01 4:50,46,29.263
2021-05-01 4:55,46,29.263
2021-05-01 5:00,46,29.263
2021-05-01 5:05,46,29.264
2021-05-01 5:10,46,29.265
2021-05-01 5:15,46,29.262
2021-05-01 5:20,46,29.259
2021-05-01 5:25,46,29.261
2021-05-01 5:30,46,29.263
2021-05-01 5:35,46,29.263
2021-05-01 5:40,46,29.265
2021-05-01 5:45,46,29.265
2021-05-01 5:50,46,29.268
2021-05-01 5:55,46,29.265
2021-05-01 6:00,46,29.266
2021-05-01 6:05,46,29.268
2021-05-01 6:10,46,29.269
2021-05-01 6:15,46,29.257
2021-05-01 6:20,46,29.269
2021-05-01 6:25,46,29.27
2021-05-01 6:30,46,29.27
2021-05-01 6:35,46,29.268
2021-05-01 6:40,46,29.269
2021-05-01 6:45,46,29.271
2021-05-01 6:50,46,29.261
2021-05-01 6:55,46,29.271
2021-05-01 7:00,46,29.27
2021-05-01 7:05,46,29.27
2021-05-01 7:10,46,29.264
2021-05-01 7:15,46,29.264
2021-05-01 7:20,46,29.262
2021-05-01 7:25,46,29.256
2021-05-01 7:30,46,29.263
2021-05-01 7:35,46,29.264
2021-05-01 7:40,46,29.267
2021-05-01 7:45,46,29.263
2021-05-01 7:50,46,29.266
2021-05-01 7:55,46,29.267
2021-05-01 8:00,46,29.267
2021-05-01 8:05,46,29.267
2021-05-01 8:10,46,29.268
2021-05-01 8:15,46,29.266
2021-05-01 8:20,46,29.267
2021-05-01 8:25,46,29.265
2021-05-01 8:30,46,29.266
2021-05-01 8:35,46,29.267
2021-05-01 8:40,46,29.266
2021-05-01 8:45,46,29.266
2021-05-01 8:50,46,29.268
2021-05-01 8:55,46,29.267
2021-05-01 9:00,46,29.268
2021-05-01 9:05,46,29.269
2021-05-01 9:10,46,29.269
2021-05-01 9:15,46,29.27
2021-05-01 9:20,46,29.269
2021-05-01 9:25,46,29.271
2021-05-01 9:30,46,29.274
2021-05-01 9:35,46,29.275
2021-05-01 9:40,46,29.275
2021-05-01 9:45,46,29.277
2021-05-01 9:50,46,29.277
2021-05-01 9:55,46,29.28
2021-05-01 10:00,46,29.284
2021-05-01 10:05,46,29.279
2021-05-01 10:10,46,29.286
2021-05-01 10:15,46,29.285
2021-05-01 10:20,46,29.288
2021-05-01 10:25,46,29.293
2021-05-01 10:30,46,29.294
2021-05-01 10:35,46,29.291
2021-05-01 10:40,46,29.294
2021-05-01 10:45,46,29.297
2021-05-01 10:50,46,29.297
2021-05-01 10:55,46,29.298
2021-05-01 11:00,46,29.298
2021-05-01 11:05,46,29.3
2021-05-01 11:10,46,29.297
2021-05-01 11:15,46,29.298
2021-05-01 11:20,46,29.297
2021-05-01 11:25,46,29.298
2021-05-01 11:30,46,29.295
2021-05-01 11:35,46,29.295
2021-05-01 11:40,46,29.299
2021-05-01 11:45,46,29.299
2021-05-01 11:50,46,29.3
2021-05-01 11:55,46,29.304
2021-05-01 12:00,46,29.307
2021-05-01 12:05,46,29.307
2021-05-01 12:10,46,29.307
2021-05-01 12:15,46,29.31
2021-05-01 12:20,46,29.309
2021-05-01 12:25,46,29.308
2021-05-01 12:30,46,29.306
2021-05-01 12:35,46,29.31
2021-05-01 12:40,46,29.314
2021-05-01 12:45,46,29.313
2021-05-01 12:50,46,29.315
2021-05-01 12:55,46,29.315
2021-05-01 13:00,46,29.312
2021-05-01 13:05,46,29.318
2021-05-01 13:10,46,29.318
2021-05-01 13:15,46,29.319
2021-05-01 13:20,46,29.315
2021-05-01 13:25,46,29.319
2021-05-01 13:30,46,29.315
2021-05-01 13:35,46,29.312
2021-05-01 13:40,46,29.31
2021-05-01 13:45,46,29.308
2021-05-01 13:50,46,29.306
2021-05-01 13:55,46,29.311
2021-05-01 14:00,46,29.314
2021-05-01 14:05,46,29.312
2021-05-01 14:10,46,29.312
2021-05-01 14:15,46,29.318
2021-05-01 14:20,46,29.319
2021-05-01 14:25,46,29.321
2021-05-01 14:30,46,29.325
2021-05-01 14:35,46,29.325
2021-05-01 14:40,46,29.326
2021-05-01 14:45,46,29.325
2021-05-01 14:50,46,29.321
2021-05-01 14:55,46,29.319
2021-05-01 15:00,46,29.312
2021-05-01 15:05,46,29.315
2021-05-01 15:10,46,29.316
2021-05-01 15:15,46,29.316
2021-05-01 15:20,46,29.315
2021-05-01 15:25,46,29.315
2021-05-01 15:30,46,29.313
2021-05-01 15:35,46,29.312
2021-05-01 15:40,46,29.308
2021-05-01 15:45,46,29.296
2021-05-01 15:50,46,29.308
2021-05-01 15:55,46,29.31
2021-05-01 16:00,46,29.315
2021-05-01 16:05,46,29.317
2021-05-01 16:10,46,29.32
2021-05-01 16:15,46,29.305
2021-05-01 16:20,46,29.322
2021-05-01 16:25,46,29.322
2021-05-01 16:30,46,29.319
2021-05-01 16:35,46,29.322
2021-05-01 16:40,46,29.321
2021-05-01 16:45,46,29.326
2021-05-01 16:50,46,29.33
2021-05-01 16:55,46,29.336
2021-05-01 17:00,46,29.335
2021-05-01 17:05,46,29.335
2021-05-01 17:10,46,29.335
2021-05-01 17:15,46,29.331
2021-05-01 17:20,46,29.327
2021-05-01 17:25,46,29.326
2021-05-01 17:30,46,29.324
2021-05-01 17:35,46,29.33
2021-05-01 17:40,46,29.332
2021-05-01 17:45,46,29.333
2021-05-01 17:50,46,29.335
2021-05-01 17:55,46,29.334
2021-05-01 18:00,46,29.329
2021-05-01 18:05,46,29.329
2021-05-01 18:10,46,29.326
2021-05-01 18:15,46,29.325
2021-05-01 18:20,46,29.322
2021-05-01 18:25,46,29.325
2021-05-01 18:30,46,29.324
2021-05-01 18:35,46,29.324
2021-05-01 18:40,46,29.325
2021-05-01 18:45,46,29.321
2021-05-01 18:50,46,29.322
2021-05-01 18:55,46,29.322
2021-05-01 19:00,46,29.32
2021-05-01 19:05,46,29.321
2021-05-01 19:10,46,29.322
2021-05-01 19:15,46,29.324
2021-05-01 19:20,46,29.324
2021-05-01 19:25,46,29.321
2021-05-01 19:30,46,29.318
2021-05-01 19:35,46,29.318
2021-05-01 19:40,46,29.315
2021-05-01 19:45,46,29.313
2021-05-01 19:50,46,29.313
2021-05-01 19:55,46,29.307
2021-05-01 20:00,46,29.316
2021-05-01 20:05,46,29.317
2021-05-01 20:10,46,29.317
2021-05-01 20:15,46,29.315
2021-05-01 20:20,46,29.315
2021-05-01 20:25,46,29.312
2021-05-01 20:30,46,29.31
2021-05-01 20:35,46,29.31
2021-05-01 20:40,46,29.308
2021-05-01 20:45,46,29.31
2021-05-01 20:50,46,29.313
2021-05-01 20:55,46,29.313
2021-05-01 21:00,46,29.317
2021-05-01 21:05,46,29.315
2021-05-01 21:10,46,29.312
2021-05-01 21:15,46,29.305
2021-05-01 21:20,46,29.305
2021-05-01 21:25,46,29.308
2021-05-01 21:30,46,29.308
2021-05-01 21:35,46,29.311
2021-05-01 21:40,46,29.31
2021-05-01 21:45,46,29.309
2021-05-01 21:50,46,29.311
2021-05-01 21:55,46,29.312
2021-05-01 22:00,46,29.31
2021-05-01 22:05,46,29.309
2021-05-01 22:10,46,29.302
2021-05-01 22:15,46,29.304
2021-05-01 22:20,46,29.314
2021-05-01 22:25,46,29.319
2021-05-01 22:30,46,29.319
2021-05-01 22:35,46,29.32
2021-05-01 22:40,46,29.32
2021-05-01 22:45,46,29.321
2021-05-01 22:50,46,29.321
2021-05-01 22:55,46,29.318
2021-05-01 23:00,46,29.315
2021-05-01 23:05,46,29.316
2021-05-01 23:10,46,29.314
2021-05-01 23:15,46,29.315
2021-05-01 23:20,46,29.303
2021-05-01 23:25,46,29.316
2021-05-01 23:30,46,29.315
2021-05-01 23:35,46,29.313
2021-05-01 23:40,46,29.313
2021-05-01 23:45,46,29.312
2021-05-01 23:50,46,29.312
2021-05-01 23:55,46,29.305
2021-05-02 0:00,46,29.314
2021-05-02 0:05,46,29.317
2021-05-02 0:10,46,29.318
2021-05-02 0:15,46,29.321
2021-05-02 0:20,46,29.321
2021-05-02 0:25,46,29.319
2021-05-02 0:30,46,29.311
2021-05-02 0:35,46,29.319
2021-05-02 0:40,46,29.321
2021-05-02 0:45,46,29.317
2021-05-02 0:50,46,29.319
2021-05-02 0:55,46,29.32
2021-05-02 1:00,46,29.319
2021-05-02 1:05,46,29.318
2021-05-02 1:10,46,29.318
2021-05-02 1:15,46,29.321
2021-05-02 1:20,46,29.322
2021-05-02 1:25,46,29.32
2021-05-02 1:30,46,29.32
2021-05-02 1:35,46,29.319
2021-05-02 1:40,46,29.32
2021-05-02 1:45,46,29.323
2021-05-02 1:50,46,29.327
2021-05-02 1:55,46,29.327
2021-05-02 2:00,46,29.323
2021-05-02 2:05,46,29.322
2021-05-02 2:10,46,29.322
2021-05-02 2:15,46,29.324
2021-05-02 2:20,46,29.325
2021-05-02 2:25,46,29.324
2021-05-02 2:30,46,29.324
2021-05-02 2:35,46,29.325
2021-05-02 2:40,46,29.325
2021-05-02 2:45,46,29.324
2021-05-02 2:50,46,29.322
2021-05-02 2:55,46,29.32
2021-05-02 3:00,46,29.32
2021-05-02 3:05,46,29.302
2021-05-02 3:10,46,29.318
2021-05-02 3:15,46,29.319
2021-05-02 3:20,46,29.32
2021-05-02 3:25,46,29.32
2021-05-02 3:30,46,29.321
2021-05-02 3:35,46,29.321
2021-05-02 3:40,46,29.32
2021-05-02 3:45,46,29.321
2021-05-02 3:50,46,29.32
2021-05-02 3:55,46,29.32
2021-05-02 4:00,46,29.32
2021-05-02 4:05,46,29.322
2021-05-02 4:10,46,29.321
2021-05-02 4:15,46,29.321
2021-05-02 4:20,46,29.319
2021-05-02 4:25,46,29.318
2021-05-02 4:30,46,29.321
2021-05-02 4:35,46,29.322
2021-05-02 4:40,46,29.327
2021-05-02 4:45,46,29.326
2021-05-02 4:50,46,29.326
2021-05-02 4:55,46,29.327
2021-05-02 5:00,46,29.328
2021-05-02 5:05,46,29.327
2021-05-02 5:10,46,29.327
2021-05-02 5:15,46,29.325
2021-05-02 5:20,46,29.326
2021-05-02 5:25,46,29.328
2021-05-02 5:30,46,29.331
2021-05-02 5:35,46,29.33
2021-05-02 5:40,46,29.329
2021-05-02 5:45,46,29.329
2021-05-02 5:50,46,29.332
2021-05-02 5:55,46,29.32
2021-05-02 6:00,46,29.331
2021-05-02 6:05,46,29.327
2021-05-02 6:10,46,29.333
2021-05-02 6:15,46,29.331
2021-05-02 6:20,46,29.329
2021-05-02 6:25,46,29.331
2021-05-02 6:30,46,29.331
2021-05-02 6:35,46,29.333
2021-05-02 6:40,46,29.333
2021-05-02 6:45,46,29.336
2021-05-02 6:50,46,29.335
2021-05-02 6:55,46,29.337
2021-05-02 7:00,46,29.322
2021-05-02 7:05,46,29.337
2021-05-02 7:10,46,29.337
2021-05-02 7:15,46,29.336
2021-05-02 7:20,46,29.337
2021-05-02 7:25,46,29.339
2021-05-02 7:30,46,29.342
2021-05-02 7:35,46,29.34
2021-05-02 7:40,46,29.339
2021-05-02 7:45,46,29.337
2021-05-02 7:50,46,29.339
2021-05-02 7:55,46,29.339
2021-05-02 8:00,46,29.339
2021-05-02 8:05,46,29.34
2021-05-02 8:10,46,29.341
2021-05-02 8:15,46,29.342
2021-05-02 8:20,46,29.346
2021-05-02 8:25,46,29.349
2021-05-02 8:30,46,29.348
2021-05-02 8:35,46,29.348
2021-05-02 8:40,46,29.348
2021-05-02 8:45,46,29.345
2021-05-02 8:50,46,29.344
2021-05-02 8:55,46,29.338
2021-05-02 9:00,46,29.334
2021-05-02 9:05,46,29.333
2021-05-02 9:10,46,29.334
2021-05-02 9:15,46,29.337
2021-05-02 9:20,46,29.341
2021-05-02 9:25,46,29.345
2021-05-02 9:30,46,29.346
2021-05-02 9:35,46,29.35
2021-05-02 9:40,46,29.349
2021-05-02 9:45,46,29.346
2021-05-02 9:50,46,29.346
2021-05-02 9:55,46,29.343
2021-05-02 10:00,46,29.341
2021-05-02 10:05,46,29.329
2021-05-02 10:10,46,29.335
2021-05-02 10:15,46,29.341
2021-05-02 10:20,46,29.346
2021-05-02 10:25,46,29.347
2021-05-02 10:30,46,29.347
2021-05-02 10:35,46,29.351
2021-05-02 10:40,46,29.354
2021-05-02 10:45,46,29.36
2021-05-02 10:50,46,29.361
2021-05-02 10:55,46,29.366
2021-05-02 11:00,46,29.367
2021-05-02 11:05,46,29.367
2021-05-02 11:10,46,29.369
2021-05-02 11:15,46,29.37
2021-05-02 11:20,46,29.373
2021-05-02 11:25,46,29.372
2021-05-02 11:30,46,29.374
2021-05-02 11:35,46,29.371
2021-05-02 11:40,46,29.374
2021-05-02 11:45,46,29.374
2021-05-02 11:50,46,29.376
2021-05-02 11:55,46,29.373
2021-05-02 12:00,46,29.373
2021-05-02 12:05,46,29.374
2021-05-02 12:10,46,29.375
2021-05-02 12:15,46,29.364
2021-05-02 12:20,46,29.379
2021-05-02 12:25,46,29.382
2021-05-02 12:30,46,29.384
2021-05-02 12:35,46,29.385
2021-05-02 12:40,46,29.384
2021-05-02 12:45,46,29.384
2021-05-02 12:50,46,29.386
2021-05-02 12:55,46,29.385
2021-05-02 13:00,46,29.386
2021-05-02 13:05,46,29.374
2021-05-02 13:10,46,29.385
2021-05-02 13:15,46,29.383
2021-05-02 13:20,46,29.387
2021-05-02 13:25,46,29.389
2021-05-02 13:30,46,29.387
2021-05-02 13:35,46,29.386
2021-05-02 13:40,46,29.385
2021-05-02 13:45,46,29.388
2021-05-02 13:50,46,29.387
2021-05-02 13:55,46,29.386
2021-05-02 14:00,46,29.391
2021-05-02 14:05,46,29.389
2021-05-02 14:10,46,29.391
2021-05-02 14:15,46,29.387
2021-05-02 14:20,46,29.392
2021-05-02 14:25,46,29.392
2021-05-02 14:30,46,29.395
2021-05-02 14:35,46,29.395
2021-05-02 14:40,46,29.397
2021-05-02 14:45,46,29.398
2021-05-02 14:50,46,29.394
2021-05-02 14:55,46,29.395
2021-05-02 15:00,46,29.39
2021-05-02 15:05,46,29.39
2021-05-02 15:10,46,29.39
2021-05-02 15:15,46,29.389
2021-05-02 15:20,46,29.39
2021-05-02 15:25,46,29.391
2021-05-02 15:30,46,29.392
2021-05-02 15:35,46,29.391
2021-05-02 15:40,46,29.391
2021-05-02 15:45,46,29.389
2021-05-02 15:50,46,29.389
2021-05-02 15:55,46,29.393
2021-05-02 16:00,46,29.395
2021-05-02 16:05,46,29.393
2021-05-02 16:10,46,29.391
2021-05-02 16:15,46,29.394
2021-05-02 16:20,46,29.396
2021-05-02 16:25,46,29.4
2021-05-02 16:30,46,29.397
2021-05-02 16:35,46,29.398
2021-05-02 16:40,46,29.396
2021-05-02 16:45,46,29.398
2021-05-02 16:50,46,29.399
2021-05-02 16:55,46,29.397
2021-05-02 17:00,46,29.394
2021-05-02 17:05,46,29.391
2021-05-02 17:10,46,29.392
2021-05-02 17:15,46,29.389
2021-05-02 17:20,46,29.389
2021-05-02 17:25,46,29.389
2021-05-02 17:30,46,29.388
2021-05-02 17:35,46,29.388
2021-05-02 17:40,46,29.392
2021-05-02 17:45,46,29.39
2021-05-02 17:50,46,29.387
2021-05-02 17:55,46,29.392
2021-05-02 18:00,46,29.39
2021-05-02 18:05,46,29.389
2021-05-02 18:10,46,29.387
2021-05-02 18:15,46,29.389
2021-05-02 18:20,46,29.391
2021-05-02 18:25,46,29.389
2021-05-02 18:30,46,29.387
2021-05-02 18:35,46,29.385
2021-05-02 18:40,46,29.388
2021-05-02 18:45,46,29.389
2021-05-02 18:50,46,29.386
2021-05-02 18:55,46,29.385
2021-05-02 19:00,46,29.387
2021-05-02 19:05,46,29.384
2021-05-02 19:10,46,29.385
2021-05-02 19:15,46,29.382
2021-05-02 19:20,46,29.385
2021-05-02 19:25,46,29.385
2021-05-02 19:30,46,29.38
2021-05-02 19:35,46,29.383
2021-05-02 19:40,46,29.386
2021-05-02 19:45,46,29.385
2021-05-02 19:50,46,29.383
2021-05-02 19:55,46,29.382
2021-05-02 20:00,46,29.38
2021-05-02 20:05,46,29.38
2021-05-02 20:10,46,29.377
2021-05-02 20:15,46,29.379
2021-05-02 20:20,46,29.379
2021-05-02 20:25,46,29.38
2021-05-02 20:30,46,29.377
2021-05-02 20:35,46,29.376
2021-05-02 20:40,46,29.377
2021-05-02 20:45,46,29.375
2021-05-02 20:50,46,29.376
2021-05-02 20:55,46,29.375
2021-05-02 21:00,46,29.375
2021-05-02 21:05,46,29.375
2021-05-02 21:10,46,29.379
2021-05-02 21:15,46,29.379
2021-05-02 21:20,46,29.374
2021-05-02 21:25,46,29.379
2021-05-02 21:30,46,29.381
2021-05-02 21:35,46,29.379
2021-05-02 21:40,46,29.379
2021-05-02 21:45,46,29.373
2021-05-02 21:50,46,29.373
2021-05-02 21:55,46,29.374
2021-05-02 22:00,46,29.377
2021-05-02 22:05,46,29.375
2021-05-02 22:10,46,29.374
2021-05-02 22:15,46,29.37
2021-05-02 22:20,46,29.373
2021-05-02 22:25,46,29.38
2021-05-02 22:30,46,29.382
2021-05-02 22:35,46,29.382
2021-05-02 22:40,46,29.381
2021-05-02 22:45,46,29.385
2021-05-02 22:50,46,29.385
2021-05-02 22:55,46,29.388
2021-05-02 23:00,46,29.387
2021-05-02 23:05,46,29.374
2021-05-02 23:10,46,29.377
2021-05-02 23:15,46,29.376
2021-05-02 23:20,46,29.382
2021-05-02 23:25,46,29.382
2021-05-02 23:30,46,29.384
2021-05-02 23:35,46,29.386
2021-05-02 23:40,46,29.384
2021-05-02 23:45,46,29.383
2021-05-02 23:50,46,29.381
2021-05-02 23:55,46,29.377
2021-05-03 0:00,46,29.381
2021-05-03 0:05,46,29.386
2021-05-03 0:10,46,29.386
2021-05-03 0:15,46,29.387
2021-05-03 0:20,46,29.39
2021-05-03 0:25,46,29.39
2021-05-03 0:30,46,29.392
2021-05-03 0:35,46,29.39
2021-05-03 0:40,46,29.395
2021-05-03 0:45,46,29.395
2021-05-03 0:50,46,29.393
2021-05-03 0:55,46,29.395
2021-05-03 1:00,46,29.396
2021-05-03 1:05,46,29.396
2021-05-03 1:10,46,29.397
2021-05-03 1:15,46,29.397
2021-05-03 1:20,46,29.387
2021-05-03 1:25,46,29.392
2021-05-03 1:30,46,29.393
2021-05-03 1:35,46,29.398
2021-05-03 1:40,46,29.396
2021-05-03 1:45,46,29.393
2021-05-03 1:50,46,29.396
2021-05-03 1:55,46,29.396
2021-05-03 2:00,46,29.395
2021-05-03 2:05,46,29.388
2021-05-03 2:10,46,29.399
2021-05-03 2:15,46,29.392
2021-05-03 2:20,46,29.395
2021-05-03 2:25,46,29.395
2021-05-03 2:30,46,29.394
2021-05-03 2:35,46,29.393
2021-05-03 2:40,46,29.395
2021-05-03 2:45,46,29.392
2021-05-03 2:50,46,29.402
2021-05-03 2:55,46,29.4
2021-05-03 3:00,46,29.397
2021-05-03 3:05,46,29.394
2021-05-03 3:10,46,29.393
2021-05-03 3:15,46,29.4
2021-05-03 3:20,46,29.4
2021-05-03 3:25,46,29.399
2021-05-03 3:30,46,29.397
2021-05-03 3:35,46,29.397
2021-05-03 3:40,46,29.398
2021-05-03 3:45,46,29.399
2021-05-03 3:50,46,29.401
2021-05-03 3:55,46,29.397
2021-05-03 4:00,46,29.399
2021-05-03 4:05,46,29.399
2021-05-03 4:10,46,29.401
2021-05-03 4:15,46,29.402
2021-05-03 4:20,46,29.392
2021-05-03 4:25,46,29.389
2021-05-03 4:30,46,29.403
2021-05-03 4:35,46,29.404
2021-05-03 4:40,46,29.4
2021-05-03 4:45,46,29.401
2021-05-03 4:50,46,29.4
2021-05-03 4:55,46,29.4
2021-05-03 5:00,46,29.398
2021-05-03 5:05,46,29.402
2021-05-03 5:10,46,29.401
2021-05-03 5:15,46,29.404
2021-05-03 5:20,46,29.4
2021-05-03 5:25,46,29.402
2021-05-03 5:30,46,29.405
2021-05-03 5:35,46,29.405
2021-05-03 5:40,46,29.406
2021-05-03 5:45,46,29.409
2021-05-03 5:50,46,29.404
2021-05-03 5:55,46,29.406
2021-05-03 6:00,46,29.403
2021-05-03 6:05,46,29.407
2021-05-03 6:10,46,29.407
2021-05-03 6:15,46,29.405
2021-05-03 6:20,46,29.404
2021-05-03 6:25,46,29.41
2021-05-03 6:30,46,29.408
2021-05-03 6:35,46,29.409
2021-05-03 6:40,46,29.407
2021-05-03 6:45,46,29.41
2021-05-03 6:50,46,29.412
2021-05-03 6:55,46,29.415
2021-05-03 7:00,46,29.414
2021-05-03 7:05,46,29.415
2021-05-03 7:10,46,29.413
2021-05-03 7:15,46,29.41
2021-05-03 7:20,46,29.403
2021-05-03 7:25,46,29.417
2021-05-03 7:30,46,29.406
2021-05-03 7:35,46,29.407
2021-05-03 7:40,46,29.41
2021-05-03 7:45,46,29.411
2021-05-03 7:50,46,29.417
2021-05-03 7:55,46,29.411
2021-05-03 8:00,46,29.414
2021-05-03 8:05,46,29.41
2021-05-03 8:10,46,29.414
2021-05-03 8:15,46,29.411
2021-05-03 8:20,46,29.413
2021-05-03 8:25,46,29.408
2021-05-03 8:30,46,29.409
2021-05-03 8:35,46,29.406
2021-05-03 8:40,46,29.406
2021-05-03 8:45,46,29.404
2021-05-03 8:50,46,29.407
2021-05-03 8:55,46,29.411
2021-05-03 9:00,46,29.409
2021-05-03 9:05,46,29.409
2021-05-03 9:10,46,29.408
2021-05-03 9:15,46,29.407
2021-05-03 9:20,46,29.408
2021-05-03 9:25,46,29.408
2021-05-03 9:30,46,29.41
2021-05-03 9:35,46,29.396
2021-05-03 9:40,46,29.411
2021-05-03 9:45,46,29.41
2021-05-03 9:50,46,29.411
2021-05-03 9:55,46,29.408
2021-05-03 10:00,46,29.409
2021-05-03 10:05,46,29.409
2021-05-03 10:10,46,29.407
2021-05-03 10:15,46,29.402
2021-05-03 10:20,46,29.402
2021-05-03 10:25,46,29.407
2021-05-03 10:30,46,29.41
2021-05-03 10:35,46,29.409
2021-05-03 10:40,46,29.41
2021-05-03 10:45,46,29.412
2021-05-03 10:50,46,29.416
2021-05-03 10:55,46,29.416
2021-05-03 11:00,46,29.417
2021-05-03 11:05,46,29.418
2021-05-03 11:10,46,29.417
2021-05-03 11:15,46,29.419
2021-05-03 11:20,46,29.421
2021-05-03 11:25,46,29.418
